Author,Affiliation,Y,X
Aardal,  Bernt. ,,
WARNING:root:No affiliation found,,,
Bartolini,  Stefano. ,,
WARNING:root:No affiliation found,,,
Bates,Professor of Government Harvard University,,
42.375638,-71.1132356,,
WARNING:root:No affiliation found,,,
Blewett Neal. ,,,
WARNING:root:No affiliation found,,,
Boix Carles,Princeton University,40.3439888,-74.6514481
WARNING:root:No affiliation found,,,
Boix Carles, Princeton University,40.3439888,-74.6514481
WARNING:root:No affiliation found,,,
Boix Carles, Princeton University,40.3439888,-74.6514481
WARNING:root:No affiliation found,,,
Buell,  Raymond ,,
WARNING:root:No affiliation found,,,
Butler D,Brown University,41.8267718,-71.4025482
WARNING:root:No affiliation found,,,
Calvo Ernesto,Investigador Superior INQUIMAE (UBA-CONICET)Argentina,,
WARNING:root:No affiliation found,,,
Campbell,  P. ,,
Chair, Molecular Physiology and Biophysics, Howard Hughes Medical Institute, CarveråÊ‰Û_
WARNING:root:No affiliation found,,,
Carstairs,  Andrew ,,
WARNING:root:No affiliation found,,,
Cook,  Chris. ,,
Sam B. Cook Professor of Economics, University of Missouri,,
WARNING:root:No affiliation found,,,
Cox Gary, Professor of Political Science Stanford University,37.4274745,-122.169719
WARNING:root:No affiliation found,,,
Cusack,  Thomas, ,
WARNING:root:No affiliation found,,,
Daalder,  Hans. ,,
WARNING:root:No affiliation found,,,
Dahl Robert, Professor of Microbiology & Immunology, Dalhousie University,
WARNING:root:No affiliation found,,,
Duverger,  Maurice. ,,
WARNING:root:No affiliation found,,,
Elklit,  Jorgen. ,,
WARNING:root:No affiliation found,,,
Elster,  Jon. ,,
Professor of Political Science, Columbia University,,
WARNING:root:No affiliation found,,,
Fearon James, Stanford University,37.4274745,-122.169719
WARNING:root:No affiliation found,,,
Gerring John, Professor of Government University of Texas at Austin,30.2849185,-97.7340567
WARNING:root:No affiliation found,,,
Goblet  d‰ÛªAlviella, ,,
WARNING:root:No affiliation found,,,
Hall Peter, University of Melbourne,-37.7963689,144.9611738
WARNING:root:No affiliation found,,,
Hardarson Olafur, Professor of Political Science University of Iceland,64.1396203,-21.9518896
WARNING:root:No affiliation found,,,
Hermens,  Ferdinand ,,
WARNING:root:No affiliation found,,,
Kreuzer Markus, Professor of Strategic and International Management EBS Business School,50.0121286,8.0504752
WARNING:root:No affiliation found,,,
La Nauze, Assistant Professor University of Pittsburgh,40.4443533,-79.960835
WARNING:root:No affiliation found,,,
Lewin,  Leif. ,,
WARNING:root:No affiliation found,,,
Lewin,  Leif, ,
WARNING:root:No affiliation found,,,
Loveday P., University of West London,51.5068804,-0.3033577
WARNING:root:No affiliation found,,,
Luebbert,  Gregory ,,
WARNING:root:No affiliation found,,,
Lutz Georg, Georg-August-UniversitÌ_t GÌ_ttingen,51.5408116,9.9374005
WARNING:root:No affiliation found,,,
Martin Cathie,John Innes Centre Norwich UK,52.622271,1.221381
WARNING:root:No affiliation found,,,
Milne R, Princeton University,40.3439888,-74.6514481
WARNING:root:No affiliation found,,,
Moore,  Barrington. ,,
WARNING:root:No affiliation found,,,
Morris,  H. ,,
James W. Walter Eminent Scholar Chair, University of Florida,,
WARNING:root:No affiliation found,,,
Overacker,  Louise. ,,
WARNING:root:No affiliation found,,,
Penadå«es,  Alberto. ,,
Profesor de SociologÌ_a (Salamanca), Doctor Miembro Instituto Juan March,,
WARNING:root:No affiliation found,,,
Pugh,  Martin. ,,
WARNING:root:No affiliation found,,,
Ramseyer,  Mark ,,
WARNING:root:No affiliation found,,,
Rodden Jonathan, Political science Stanford University,37.4273156,-122.1646818
WARNING:root:No affiliation found,,,
Rodden Jonathan, Political science Stanford University,37.4273156,-122.1646818
WARNING:root:No affiliation found,,,
Rogowski,  Ronald. ,,
WARNING:root:No affiliation found,,,
Rokkan Stein, Uni Reseach Stein Rokkan Centre for Social Studies,60.3889041,5.3248486
WARNING:root:No affiliation found,,,
Rustow,  Dankwart ,,
WARNING:root:No affiliation found,,,
Signorino Curtis, Associate Professor of Political Science University of Rochester,43.1305531,-77.6260033
WARNING:root:No affiliation found,,,
Strong David, Public Health University of California,32.8800604,-117.2340135
WARNING:root:No affiliation found,,,
Stuart,  Graham ,,
Professor Ophthalmology and Vision Science, Macquarie University,,
WARNING:root:No affiliation found,,,
Verney,  D. ,,
WARNING:root:No affiliation found,,,
Woeste,  Charles. ,,
WARNING:root:No affiliation found,,,
